Track URI,Track Name,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness
spotify:track:2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Alec Benjamin,74,"['alt z', 'pop', 'pov: indie']",Narrated For You,86,0.652,0.557,1,-5.714,0,0.0318
spotify:track:2kx5sQgmjYug0GiDh1a4sU,"Living Life, In The Night",Cheriimoya,59,['sad lo-fi'],"Living Life, In The Night",78,0.624,0.499,0,-9.962,0,0.0495
spotify:track:6KDLF8dSIrhW0snVS4KK1m,The Very Very Very Strongest! - Epic Version,Carameii,49,[],The Very Very Very Strongest! (Epic Version),36,0.529,0.806,7,-6.772,1,0.0346
spotify:track:03eyNjBM2mpx28H6kdaufN,Overwhelmed (Ryan Mack Remix),Ryan Mack,65,"['irish pop', 'singer-songwriter pop']",Overwhelmed (Ryan Mack Remix),76,0.658,0.445,0,-8.749,0,0.154
spotify:track:5X3T8jHNIJSXviiDmiBdz0,Enemy,Tommee Profitt,62,"['anthem worship', 'bossbeat']",Cinematic Songs (Vol. 6),69,0.581,0.803,2,-4.935,0,0.152
spotify:track:2hBTwdNO5kwsBLjjKOM8jV,"Bre, Petrunko",47,33,[],"Bre, Petrunko",48,0.351,0.711,2,-8.647,1,0.107
spotify:track:3FfIPZl02Le17YtcgATXmA,Anthropocene,KR3TURE,41,['livetronica'],Anthropocene,46,0.657,0.408,2,-8.401,0,0.0295
spotify:track:5LmWqjzvDZROkWcTZ5E8dc,Polozhenie,SoulkaOuter,47,[],Polozhenie,56,0.647,0.519,10,-9.992,0,0.043
spotify:track:0gBQu8kgs5kMVdtj01yVpz,Beast Mode,DJariium,36,[],"Crossing Electronic Music, Vol. 5",55,0.433,0.817,4,-4.868,0,0.179
spotify:track:14JJgiD5VDRpMOuTm9AE5J,The Drift,Blackmill,46,"['chillstep', 'dubstep product', 'substep']",Miracle,47,0.536,0.712,1,-9.282,0,0.0351
spotify:track:5YdnOm5990Kfq1Jodws98B,Call It Love,Felix Jaehn,74,"['edm', 'german dance', 'pop dance', 'tropical house']",Call It Love,80,0.616,0.841,5,-4.779,0,0.076
spotify:track:6XKG4Ya9TSdafwqKWFXaDj,Hidden Machinations,Eternal Eclipse,50,['epicore'],Forgotten Odes,49,0.45,0.7,2,-8.677,0,0.0325
spotify:track:0ZDOeU1j1hjSLNQQyaBW2s,Electric Odissey,NKOHA,41,['japanese chillhop'],FOCUS ON ME,48,0.603,0.775,2,-7.282,1,0.0326
spotify:track:6b8VuRQmxLjUM4KvqpuYOP,Babel,Gustavo Bravetti,47,[],Babel,62,0.549,0.694,7,-3.703,0,0.042
spotify:track:0RTG9fbE9HY6kOZjzpaFAP,Final Reckoning,Q-Factory by Robert Etoll,36,['epicore'],Final Reckoning,50,0.601,0.586,2,-8.197,1,0.0281
spotify:track:65V53jJC4l1cyGvRfuJBCp,Theory of Light,Eternal Eclipse,50,['epicore'],Forgotten Odes,49,0.18,0.525,0,-10.743,0,0.0532
spotify:track:0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,80,"['edm', 'pop', 'pop dance']",The Days / Nights,86,0.527,0.835,6,-5.298,1,0.0433
spotify:track:63iuseNM9M4zQ1KBRe7omL,You Spin My Head Right Round,Tomas Bellwais,30,[],"Running Songs: Best Motivation Workout Music for Exercise Sports, Running, Bodypump, Aerobics, Gym",50,0.744,0.864,7,-3.8,1,0.0565
